"Arm1","Arm2","Arm3","Arm4","Arm5","Arm6"
0,0,0,1,0,0
0,0,0,0,0,0
0,1,1,0,0,1
0,1,0,0,0,0
1,0,0,1,0,0
1,0,1,0,0,0
0,1,0,0,0,0
1,0,0,0,0,1
0,1,0,0,0,1
0,1,0,0,0,0
0,1,1,1,1,0
0,1,1,0,1,1
1,1,0,0,1,0
0,1,0,0,1,0
0,1,0,1,0,0
0,1,0,0,1,0
0,1,0,0,1,0
0,0,0,0,0,1
0,0,0,1,0,1
0,0,0,0,0,0
0,0,0,0,0,0
1,1,0,0,1,0
0,0,0,0,0,0
0,1,0,0,0,0
1,1,1,0,0,1
1,0,0,0,0,0
1,1,1,0,1,0
0,0,0,1,1,0
1,1,0,1,1,1
0,1,0,0,1,0
1,0,0,0,1,0
0,1,0,0,1,0
0,1,0,0,1,0
0,1,0,1,1,0
0,0,0,0,0,1
1,0,0,0,0,0
0,0,0,0,0,0
0,0,1,1,0,0
0,1,0,0,0,0
1,0,0,0,0,0
0,1,0,0,0,0
0,0,0,0,1,0
0,0,0,1,0,0
1,1,0,0,1,0
0,0,0,0,1,1
0,1,1,0,1,0
1,1,0,0,0,0
1,1,0,0,1,0
0,1,0,0,1,0
0,1,0,0,1,0
0,1,1,0,1,0
1,0,0,0,0,0
0,0,1,0,0,0
0,0,1,0,0,0
1,0,0,0,0,0
0,1,0,0,0,0
0,1,0,1,0,0
0,1,0,0,0,0
1,0,1,1,0,0
0,0,0,0,1,1
1,0,0,1,1,0
0,0,1,0,1,0
1,1,0,1,0,0
0,0,0,0,1,0
0,1,0,1,0,0
0,0,0,0,1,0
1,1,0,0,1,0
0,1,0,1,0,0
1,0,0,0,0,0
0,0,0,0,0,0
1,0,0,1,0,0
1,0,0,0,0,0
0,1,0,0,0,1
0,1,0,0,0,1
1,1,0,0,0,0
1,0,0,0,0,0
0,1,1,1,1,0
1,1,0,0,0,0
1,0,1,1,1,0
0,0,1,0,1,0
0,1,0,0,0,0
0,1,0,1,1,0
1,0,0,0,1,0
1,0,1,1,1,0
0,1,1,0,1,0
0,0,0,0,0,0
0,0,0,1,0,0
0,0,0,0,0,0
1,0,1,0,1,0
0,0,1,1,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,1
0,0,1,0,1,0
1,0,1,1,1,1
0,1,1,0,1,0
1,1,1,0,1,0
0,1,0,0,1,0
0,1,0,0,1,1
1,1,0,0,1,0
0,0,0,0,1,1
0,1,0,0,1,0
0,0,0,1,0,0
0,0,0,1,1,0
0,0,0,0,0,1
1,0,0,0,0,0
1,0,1,1,1,0
0,0,0,0,1,0
0,0,0,0,0,1
0,1,1,0,0,0
0,1,0,0,0,1
0,1,0,0,0,0
0,1,0,0,0,0
0,0,1,0,1,0
1,1,0,1,1,0
0,1,0,0,1,0
0,0,0,0,1,0
0,1,0,1,1,0
0,1,1,0,1,0
0,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,1,0
0,1,0,1,1,1
1,0,0,0,0,0
1,0,0,0,0,0
0,0,0,0,0,0
1,1,0,1,1,0
0,0,0,0,1,1
0,1,0,0,0,0
1,1,0,0,0,0
0,1,0,1,1,0
0,1,0,0,1,0
0,1,1,0,1,0
1,0,0,0,1,0
0,1,0,1,1,0
0,1,0,0,1,0
0,0,0,1,0,0
1,0,0,0,1,0
1,0,0,0,0,0
1,0,0,0,1,0
0,0,0,0,0,0
1,1,1,0,1,0
0,1,0,0,1,0
0,1,1,1,1,0
0,1,0,0,1,0
0,1,0,0,1,0
0,0,0,0,0,0
0,1,0,0,0,0
1,0,0,0,1,0
0,1,0,1,0,1
0,1,0,0,1,0
1,1,0,0,1,0
0,0,0,1,1,0
1,0,0,0,0,0
0,0,0,1,0,0
0,0,0,0,0,0
0,0,1,0,0,1
0,0,0,0,0,0
1,1,1,1,0,0
0,1,0,1,0,1
0,0,1,1,1,0
0,0,1,1,0,0
0,0,0,0,0,0
0,1,0,0,1,1
0,1,0,0,1,0
0,1,0,0,0,1
0,0,0,0,1,1
1,1,0,0,1,0
0,0,0,1,1,0
0,1,0,0,1,1
1,0,0,0,0,0
0,0,0,1,0,0
0,0,0,0,0,0
1,0,0,0,0,0
0,1,0,1,0,0
1,0,0,1,0,0
0,0,0,1,0,1
0,0,0,0,1,0
0,0,0,0,0,1
0,1,0,1,0,0
0,1,0,0,1,0
0,1,0,0,1,0
0,1,0,0,1,1
0,1,0,1,1,0
0,1,0,0,1,0
0,1,0,0,0,0
0,1,0,0,1,0
1,0,0,0,0,0
0,0,0,0,0,1
0,0,0,0,0,0
0,0,1,0,0,1
1,0,0,0,0,0
0,0,0,0,0,0
1,1,0,0,1,0
0,0,1,0,1,0
0,1,1,0,0,0
0,1,0,0,0,0
0,0,0,0,1,0
0,1,0,0,1,0
1,1,0,1,0,1
0,1,1,1,1,0
1,1,1,0,1,0
0,1,0,1,1,0
0,1,0,1,1,0
0,0,0,1,0,0
0,0,0,1,0,0
1,0,0,0,0,1
0,0,1,0,0,0
0,0,0,0,0,0
0,0,0,0,1,0
0,0,0,0,1,0
0,1,0,1,0,0
0,0,0,0,1,0
1,1,0,0,0,0
1,1,0,1,0,0
0,0,0,1,1,0
0,1,0,0,1,1
0,1,1,1,1,0
0,1,0,0,1,1
0,1,0,1,1,0
0,1,0,0,1,0
0,0,1,1,0,0
1,0,1,1,0,0
1,0,0,0,1,0
0,0,0,0,0,0
0,0,0,0,1,0
0,0,0,0,0,0
1,0,0,0,0,0
0,1,0,0,0,0
1,1,0,0,0,0
1,1,1,1,0,1
1,1,0,0,1,0
0,1,0,0,1,0
1,1,0,1,1,0
0,1,0,1,1,0
0,0,0,0,1,0
0,1,0,0,1,0
0,1,0,1,0,0
0,0,0,1,0,1
1,0,0,0,0,0
1,0,0,0,0,0
0,1,1,0,0,0
0,0,1,0,0,0
1,0,0,0,0,0
0,0,0,1,1,0
0,1,0,1,0,0
0,1,0,0,0,0
0,1,0,0,0,0
0,1,0,0,1,0
1,1,0,0,1,0
0,1,0,0,1,0
1,1,0,0,1,1
1,0,1,1,0,0
0,1,0,1,1,1
0,1,0,0,1,0
0,0,1,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,1,1,0,0,0
0,0,0,0,1,0
0,0,0,1,0,1
0,1,1,0,1,0
1,0,0,0,1,0
0,0,0,1,1,0
0,0,0,0,0,0
0,0,0,0,0,0
0,1,0,1,1,1
0,0,1,0,1,1
0,1,1,0,0,0
0,1,1,0,0,0
0,1,1,0,1,0
0,1,0,0,1,0
1,0,1,0,0,0
0,0,0,0,0,0
0,0,0,0,0,1
0,0,0,1,0,0
0,0,0,1,1,0
1,0,0,1,0,0
0,1,0,1,1,0
0,0,0,0,0,0
0,0,0,0,1,0
1,0,0,1,1,0
0,1,0,0,1,0
0,1,0,0,1,0
1,1,0,0,1,0
1,0,0,1,1,0
0,1,0,1,1,0
0,1,0,0,1,0
1,1,0,0,1,0
0,0,0,1,0,0
1,0,0,1,0,1
0,0,0,1,0,0
1,0,0,0,0,0
0,1,0,0,1,0
1,1,1,0,0,0
1,0,0,0,0,0
0,0,1,0,0,0
1,0,1,0,0,0
0,1,0,1,1,1
0,1,0,0,1,0
0,1,0,1,0,0
0,1,0,1,1,0
0,0,0,0,0,0
1,1,0,1,1,0
0,0,0,1,1,0
0,1,0,0,1,1
1,0,1,1,0,1
0,0,0,0,0,0
0,0,0,0,1,1
1,0,1,1,0,0
0,0,0,1,0,1
1,1,0,1,1,0
0,0,1,0,0,0
0,0,0,0,1,0
1,0,1,1,1,0
1,1,0,1,0,0
0,0,0,0,1,0
0,1,1,1,1,0
0,1,0,1,0,1
1,0,0,0,0,0
0,1,0,1,1,0
0,1,0,1,1,0
0,1,0,1,1,0
0,0,0,0,0,0
0,0,0,1,0,1
0,0,1,0,0,0
0,0,0,0,0,0
0,0,0,0,1,1
1,0,0,1,0,0
0,0,0,0,0,0
0,0,0,0,0,0
1,1,0,1,1,0
0,0,1,0,0,0
0,0,0,1,0,0
0,0,0,0,1,0
0,0,1,0,1,0
1,1,0,0,1,0
0,1,0,0,1,0
1,1,0,1,0,0
0,1,0,1,1,1
0,0,0,0,0,0
0,0,0,0,0,1
1,0,0,0,0,0
0,0,0,0,0,0
1,0,0,0,0,0
1,1,0,0,0,0
0,0,0,1,0,0
0,0,1,0,1,0
0,1,0,0,0,0
0,1,0,0,0,0
1,1,1,1,1,0
1,1,0,1,1,1
0,0,0,0,1,0
0,1,0,1,1,1
1,1,1,0,1,1
0,1,0,0,1,0
1,1,0,1,1,1
1,0,0,0,0,1
0,0,0,0,0,0
0,0,1,0,0,0
0,0,0,0,0,0
1,1,0,0,0,1
0,1,1,1,0,0
1,0,1,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,1,0,0,1,0
1,1,0,1,0,0
0,1,0,1,1,0
0,1,0,0,1,0
0,1,1,0,1,0
0,1,0,0,1,0
1,1,0,0,1,1
1,0,0,0,0,1
1,0,0,0,0,0
0,0,0,0,0,0
1,0,0,0,1,0
1,0,0,0,0,1
1,0,0,0,0,0
1,0,0,1,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,1,0,1,1,0
